resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4326949;0.5578446;0.4300151;0.5192831;29;20
0.4114604;0.5411114;0.4104437;0.5261509;29;20
0.409798;0.5413926;0.4105168;0.5261614;29;20
0.4081677;0.5411965;0.4105842;0.5259296;29;20
0.4065902;0.5412529;0.41068;0.526559;29;20
0.4050827;0.5413998;0.4106775;0.5243551;29;20
0.4036588;0.5413838;0.4108186;0.5261996;29;20
0.4023275;0.5415722;0.4109932;0.5293601;29;20
0.4010935;0.5415436;0.4110377;0.5281615;29;20
0.399958;0.5416299;0.4111564;0.5295392;29;20
0.3989184;0.5416159;0.4111836;0.5278941;29;20
0.3979703;0.5416343;0.4112189;0.526744;29;20
0.3971072;0.5416813;0.4112993;0.5268546;29;20
0.396322;0.5417293;0.4113799;0.5269701;29;20
0.3956074;0.541778;0.4114608;0.5270884;29;20
0.3949562;0.5418273;0.4115418;0.5272079;29;20
0.3943614;0.5418769;0.4116228;0.5273269;29;20
0.3938169;0.5419268;0.4117038;0.5274436;29;20
0.3933172;0.5419767;0.4117848;0.5275567;29;20
0.3928573;0.5420266;0.4118657;0.5276647;29;20
0.3924333;0.5420763;0.4119466;0.5277666;29;20
0.3920415;0.5421256;0.4120272;0.5278615;29;20
0.3916788;0.5421745;0.4121075;0.5279489;29;20
0.3913426;0.5422229;0.4121877;0.5280284;29;20
0.3910308;0.5422706;0.4122674;0.5280998;29;20
0.3907413;0.5423176;0.4123468;0.5281636;29;20
0.3904725;0.5423639;0.4124256;0.5282201;29;20
0.3902231;0.5424002;0.412483;0.5278914;28;20
0.3682058;0.5262463;0.3918843;0.5133741;28;20
0.3679838;0.5262923;0.3919644;0.5134279;28;20
0.3677782;0.5263376;0.3920436;0.5134817;28;20
0.3675882;0.5263823;0.3921218;0.5135387;28;20
0.367413;0.5263867;0.3922814;0.5111175;28;20
0.3672518;0.5265157;0.3921863;0.5159549;28;20
0.3671038;0.526466;0.3924361;0.5104006;28;20
0.3669684;0.5265031;0.3925122;0.5097423;28;20
0.3668448;0.5266488;0.3923864;0.5167564;28;20
