resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.5443869;0.5757398;0.4735073;0.6328561;30;20
0.5437661;0.5755963;0.4737178;0.63276;30;20
0.5431529;0.5754493;0.4739256;0.6326683;30;20
0.5425559;0.5752999;0.4741306;0.6325819;30;20
0.5419821;0.5751489;0.4743328;0.632502;30;20
0.5414369;0.5749971;0.4745322;0.6324294;30;20
0.5409234;0.5748454;0.4747289;0.632365;30;20
0.5383752;0.5746965;0.4747961;0.6323092;30;20
0.5399975;0.574545;0.4751143;0.6322629;30;20
0.5395842;0.5743972;0.4753034;0.6322263;30;20
0.5392014;0.5742519;0.4754907;0.6321999;30;20
0.5388467;0.5741094;0.4756761;0.632184;30;20
0.5385171;0.5739699;0.47586;0.6321787;30;20
0.5382098;0.5738335;0.4760427;0.6321841;30;20
0.537922;0.5737005;0.4762245;0.6322003;30;20
0.5376513;0.5735708;0.4764056;0.6322272;30;20
0.5373954;0.5734446;0.4765864;0.6322649;30;20
0.5371523;0.5733217;0.4767672;0.6323128;30;20
0.5369206;0.573202;0.4769484;0.6323708;30;20
0.536699;0.5730854;0.4771304;0.6324384;30;20
0.5364863;0.5729716;0.4773132;0.6325152;30;20
0.5362818;0.5728604;0.4774974;0.6326006;30;20
0.5360847;0.5727517;0.4776833;0.6326937;30;20
0.5358945;0.5726449;0.4778712;0.6327941;30;20
0.5357107;0.5725399;0.4780616;0.632901;30;20
0.5355331;0.5724361;0.4782547;0.6330131;30;20
0.5353612;0.5723332;0.478451;0.6331301;30;20
0.5351947;0.5722307;0.4786509;0.633251;30;20
0.5350334;0.5721282;0.4788549;0.6333745;30;20
0.534877;0.572025;0.4790635;0.6335001;30;20
0.5347252;0.5719207;0.479277;0.6336269;30;20
0.5345778;0.5718145;0.479496;0.6337541;30;20
0.5344344;0.5717058;0.4797211;0.633881;30;20
0.5342947;0.5715941;0.4799528;0.6340069;30;20
0.5341584;0.5714782;0.4801918;0.6341313;30;20
0.5340252;0.5713574;0.4804386;0.6342534;30;20
0.5338947;0.571231;0.4806941;0.6343729;30;20
0.5337445;0.571098;0.4820512;0.6344894;30;20
0.5335888;0.5709575;0.483351;0.6346027;30;20
0.5351267;0.5707967;0.4533777;0.6347123;30;20
0.5333924;0.5706459;0.4818163;0.6348183;30;20
0.5332699;0.5704735;0.482126;0.6349203;30;20
0.5331479;0.5702875;0.4824489;0.6350185;30;20
0.533026;0.5700865;0.4827861;0.6351126;30;20
0.5329039;0.5698683;0.4831381;0.6352028;30;20
0.5327811;0.5696307;0.4835059;0.635289;30;20
0.5326574;0.5693713;0.4838901;0.6353713;30;20
0.5325326;0.5690876;0.4842914;0.6354499;30;20
0.5324064;0.5687762;0.4847102;0.6355247;30;20
0.5322811;0.5684342;0.4851467;0.635596;30;20
0.5321488;0.5680576;0.4856012;0.6356637;30;20
0.5320202;0.5676425;0.4860731;0.635728;30;20
0.5318839;0.5671843;0.4865623;0.635789;30;20
0.5317487;0.5666783;0.4870675;0.6358467;30;20
0.5316117;0.5661191;0.4875875;0.6359013;30;20
0.5314733;0.5655012;0.4881206;0.6359527;30;20
0.5313335;0.5648191;0.4886645;0.6360009;30;20
0.5311928;0.5640668;0.4892164;0.6360461;30;20
0.5310515;0.5632387;0.4897736;0.636088;30;20
0.53091;0.5623297;0.4903325;0.6361269;29;20
0.5488232;0.5462201;0.4768748;0.658099;29;20
0.548678;0.5450997;0.4774119;0.6581322;29;20
0.5485332;0.5495858;0.4775431;0.65942;29;20
0.5483891;0.54041;0.4785174;0.658169;29;20
0.5482454;0.5296835;0.4795331;0.6581663;29;20
0.5481033;0.5377093;0.4795433;0.6582096;29;20
0.5479701;0.5332266;0.4796332;0.6581936;29;20
0.5478101;0.5274873;0.4804105;0.6582028;29;20
0.5476699;0.5340736;0.4809527;0.6582306;29;20
0.5475223;0.5433759;0.480752;0.6590989;29;20
0.5473594;0.5269933;0.4820256;0.6581821;29;20
0.5471991;0.5299772;0.4822958;0.658156;29;20
0.5470614;0.5284027;0.4812211;0.6529892;28;20
0.5306;0.5100008;0.4649105;0.6457945;28;20
0.5303357;0.5085348;0.4654684;0.6456671;27;20
0.5465562;0.5258716;0.4462683;0.6323634;27;20
0.5463383;0.524581;0.4468712;0.6321061;27;20
0.5461088;0.5234163;0.4474603;0.6317482;27;20
0.5458678;0.5223798;0.4480111;0.6312518;27;20
0.5456148;0.5214705;0.4484968;0.6305658;27;20
0.5453495;0.5206842;0.4488914;0.6296277;27;20
0.5450709;0.520014;0.4491728;0.6283662;27;20
0.544777;0.5194503;0.4493246;0.6267137;27;20
0.5444646;0.538956;0.4481182;0.6264819;27;20
0.5441293;0.5389203;0.4479722;0.6237584;27;20
0.5437648;0.5389954;0.4476781;0.6211583;27;20
0.543364;0.5390642;0.4472641;0.6180455;27;20
0.5429322;0.5150163;0.4468026;0.6132843;27;20
0.5424211;0.5117217;0.4482086;0.6106198;27;20
0.5418638;0.5164655;0.4464125;0.6080706;27;20
0.5412416;0.5382652;0.4447445;0.6064537;27;20
0.5405514;0.5377452;0.4439569;0.6046514;27;20
0.5397926;0.5166129;0.444279;0.6029938;27;20
0.5389677;0.5163066;0.443383;0.6019328;27;20
0.538081;0.5159566;0.4424637;0.6010976;27;20
0.5371398;0.5155585;0.4415274;0.6004395;27;20
0.5361519;0.5151083;0.4405787;0.5999178;27;20
0.535127;0.5147949;0.430287;0.6007981;26;20
0.5161726;0.5164021;0.4407756;0.6224892;26;20
0.5150676;0.5157543;0.4421109;0.6218969;0;20
0.37385;0.4964792;0.4949299;0.5866308;15;20
0.37385;0.4964792;0.4949299;0.5866308;15;20
0.3738958;0.4964871;0.4949688;0.5866315;15;20
0.37395;0.4964945;0.4950164;0.5866318;15;20
0.3740123;0.4965016;0.4950725;0.5866317;15;20
0.3740823;0.4965083;0.4951378;0.5866311;15;20
0.3741596;0.4965146;0.4952123;0.5866301;15;20
0.3742439;0.4965204;0.4952959;0.5866289;15;20
0.3743351;0.4965258;0.4953889;0.5866273;15;20
0.3744329;0.4965307;0.495491;0.5866255;15;20
0.374537;0.4965352;0.4956022;0.5866234;15;20
0.3746471;0.4965391;0.4957223;0.586621;15;20
0.3747634;0.4965424;0.4958507;0.5866185;15;20
0.3748855;0.4965452;0.4959871;0.5866158;15;20
0.3750134;0.4965473;0.4961309;0.5866129;15;20
0.375147;0.4965487;0.4962811;0.5866098;15;20
0.3752863;0.4965493;0.4964369;0.5866063;15;20
0.3754311;0.4965491;0.4965972;0.5866029;15;20
0.3755815;0.4965481;0.4967611;0.586599;15;20
0.3757375;0.496546;0.4969269;0.586595;15;20
0.3758988;0.4965429;0.4970937;0.5865906;15;20
0.3760658;0.4965386;0.49726;0.586586;15;20
0.3762382;0.4965333;0.4974243;0.5865809;15;20
0.376416;0.4965266;0.4975852;0.5865753;15;20
0.3765996;0.4965187;0.4977417;0.5865692;15;20
0.3767886;0.4965096;0.4978923;0.5865624;15;20
0.3769834;0.496499;0.498036;0.5865546;15;20
0.3771838;0.4964873;0.4981719;0.5865457;15;20
0.37739;0.4964745;0.4982996;0.5865352;15;20
0.377602;0.4964605;0.4984184;0.5865227;15;20
0.3778199;0.4964456;0.4985283;0.5865074;15;20
0.3780437;0.4964299;0.4986293;0.5864885;15;20
0.3782736;0.4964139;0.4987216;0.5864646;15;20
0.3785097;0.4963978;0.4988058;0.5864336;15;20
0.3787521;0.496382;0.4988827;0.5863931;15;20
0.3790008;0.496367;0.4989531;0.5863388;15;20
0.3792562;0.4963536;0.4990183;0.5862651;15;20
0.3795182;0.4963423;0.4990793;0.5861639;15;20
0.3797871;0.4963341;0.4991376;0.5860237;15;20
0.3800632;0.4963301;0.4991944;0.5858291;15;20
0.3803467;0.4963312;0.4992514;0.5855591;15;20
0.3806378;0.4963393;0.4993098;0.5851881;15;20
0.3809368;0.4963557;0.4993711;0.5846856;15;20
0.3812439;0.4963824;0.4994366;0.5840201;15;20
0.3815593;0.4964215;0.4995075;0.5831634;15;20
0.3818831;0.4964753;0.499585;0.5820981;15;20
0.3822153;0.4965459;0.49967;0.580824;15;20
0.3825558;0.4966354;0.4997639;0.5793626;15;20
0.3829044;0.4967457;0.4998674;0.5777561;15;20
0.3832607;0.4968783;0.4999816;0.5760619;15;20
0.3836246;0.4970341;0.5001076;0.574343;15;20
0.3839956;0.4972138;0.5002466;0.5726587;15;20
0.3843736;0.4974179;0.5003995;0.5710573;15;20
0.3847584;0.4976469;0.5005678;0.5695731;15;20
0.3851499;0.4979011;0.5007526;0.5682258;15;20
0.3855479;0.4981816;0.5009555;0.5660301;15;20
0.3859528;0.4984879;0.5011777;0.565819;15;20
0.3863643;0.4988225;0.5014212;0.5636486;15;20
0.386783;0.4991851;0.5016874;0.5631033;15;20
0.3872088;0.4995768;0.501978;0.5634341;15;20
0.3876417;0.4999994;0.502295;0.5628115;15;20
0.3880821;0.5004532;0.5026399;0.5623323;15;20
0.38853;0.5009392;0.5030145;0.5618851;15;20
0.3889858;0.5014581;0.5034204;0.5615197;15;20
0.3894493;0.5020104;0.5038589;0.5613165;15;20
0.3899211;0.5025966;0.5043314;0.5610412;15;20
0.3904009;0.5032167;0.5048385;0.5608041;15;20
0.3908889;0.5038714;0.5053806;0.5605993;15;20
0.3913852;0.5045606;0.5059578;0.5604219;15;20
0.39189;0.505285;0.5065694;0.5602678;15;20
0.3924031;0.5060447;0.5072144;0.5601335;15;20
0.3929247;0.5068403;0.5078907;0.5600159;15;20
0.3934548;0.5076728;0.508596;0.5599127;14;20
0.3950939;0.4644389;0.5093274;0.5657002;15;20
0.3956406;0.4653485;0.5100812;0.5656213;15;20
0.3961956;0.4662988;0.5108535;0.5655513;15;20
0.3967586;0.4672923;0.5116398;0.5654891;15;20
0.3973296;0.4683312;0.5124356;0.5654334;15;20
0.3979082;0.4694182;0.5132362;0.5653836;15;20
0.3984942;0.4705563;0.5140367;0.5653387;15;20
0.3990874;0.4717485;0.5148327;0.5652981;15;20
0.3996873;0.472998;0.5156199;0.5652612;15;20
0.4002934;0.4743076;0.5163944;0.5652277;15;20
0.4009055;0.47568;0.5171524;0.5651972;15;20
0.4015228;0.4771172;0.5178907;0.5651692;15;20
0.4021448;0.4786207;0.5186068;0.5651435;15;20
0.4027708;0.4801909;0.5192984;0.56512;15;20
0.4034002;0.4818271;0.5199639;0.5650985;15;20
0.4040321;0.4835272;0.5206018;0.5650789;15;20
0.4046656;0.4852876;0.5212112;0.5650609;15;20
0.4052999;0.4871026;0.5217918;0.5650448;15;20
0.4059341;0.4889652;0.5223433;0.5650306;15;20
0.4065672;0.4908663;0.5228659;0.5650184;15;20
0.4071983;0.4927951;0.5233598;0.5650082;15;20
0.4078261;0.4947394;0.5238258;0.5650004;15;20
0.4084497;0.496686;0.5242644;0.5649953;15;20
0.4090683;0.4986206;0.5246765;0.5649934;15;20
0.4096805;0.5005289;0.525063;0.5649952;15;20
0.4102857;0.5023965;0.5254253;0.5650015;15;20
0.4108826;0.5042103;0.5257639;0.5650129;15;20
0.4114705;0.5059578;0.5260803;0.5650305;1;20
0.4104348;0.5199432;0.4063187;0.5985337;15;20
0.4104348;0.5199423;0.4063187;0.5985337;15;20
0.4104407;0.5209101;0.4063762;0.59852;15;20
0.410446;0.5217969;0.4064363;0.5985054;15;20
0.4104508;0.5226031;0.4064992;0.5984899;15;20
0.4104554;0.5233309;0.4065647;0.5984734;15;20
0.4104596;0.5239834;0.4066327;0.5984558;15;20
0.4104635;0.5245647;0.406703;0.5984372;15;20
0.4104672;0.525079;0.4067753;0.5984174;15;20
0.4104707;0.5255308;0.4068493;0.5983965;15;20
0.410474;0.5259243;0.4069245;0.5983744;15;20
0.4104772;0.5262634;0.4070003;0.5983509;15;20
0.4104804;0.526552;0.407076;0.5983258;15;20
0.4104837;0.5267927;0.4071507;0.5982985;15;20
0.4104872;0.5269883;0.4072233;0.5982686;15;20
0.410491;0.5271403;0.4072926;0.5982351;15;20
0.4104956;0.5272499;0.4073575;0.5981967;15;20
0.4105011;0.5273182;0.4074169;0.5981522;15;20
0.4105082;0.5273463;0.4074701;0.5980996;15;20
0.4105177;0.5273352;0.4075176;0.5980369;15;20
0.4105306;0.5272872;0.4075608;0.597962;15;20
0.4105489;0.5272056;0.4076022;0.597873;15;20
0.4105753;0.5270956;0.4076453;0.5977684;15;20
0.4106139;0.5269632;0.4076937;0.5976479;15;20
0.4106714;0.5268148;0.4077502;0.5975123;15;20
0.4107581;0.5266554;0.4078158;0.5973641;15;20
0.4108888;0.5264883;0.40789;0.5972072;15;20
0.411085;0.5263141;0.4079707;0.597047;15;20
0.4113756;0.5261317;0.4080558;0.5968893;15;20
