resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4660227;0.5364816;0.4558359;0.5263909;50;0
0.4660931;0.5363994;0.4553936;0.5262707;50;0
0.4661704;0.5363163;0.4549308;0.526153;50;0
0.4662551;0.5362321;0.4544488;0.526035;50;0
0.4663473;0.5361464;0.453949;0.5259138;50;0
0.4664467;0.5360596;0.4534321;0.5257863;50;0
0.4665526;0.5359713;0.4528983;0.5256484;50;0
0.466664;0.5358814;0.4523469;0.525495;50;0
0.4667792;0.53579;0.4517762;0.5253199;50;0
0.4668962;0.5356963;0.4511838;0.5251156;50;0
0.467013;0.535601;0.4505673;0.5248725;50;0
0.4671271;0.5355034;0.449925;0.524579;50;0
0.4672363;0.5354036;0.4492561;0.5242206;50;0
0.4673389;0.5353013;0.4485617;0.5237811;50;0
0.4674332;0.5351965;0.4478441;0.5232421;50;0
0.4675188;0.5350889;0.447107;0.5225847;50;0
0.4675955;0.5349784;0.4463533;0.5217927;50;0
0.4676643;0.5348645;0.4455832;0.5208555;50;0
0.4677268;0.5347471;0.444792;0.5197737;50;0
0.4677851;0.5346254;0.4439677;0.5185618;50;0
0.4678414;0.5344993;0.4430886;0.5172499;50;0
0.4678983;0.5343682;0.4421251;0.515879;50;0
0.4679586;0.5342311;0.4410448;0.5144943;50;0
0.4680249;0.5340874;0.4398236;0.5131352;50;0
0.4681;0.5339358;0.438459;0.5118277;50;0
0.4681871;0.5337748;0.4369792;0.5105813;50;0
0.4682892;0.5336021;0.4354395;0.5093896;50;0
0.4684103;0.5334146;0.4339054;0.5082342;50;0
0.4685546;0.5332073;0.4324333;0.5070903;50;0
0.4687266;0.5329725;0.431058;0.5059322;50;0
0.4689315;0.5326987;0.4297931;0.5047383;50;0
0.4691747;0.5323672;0.4286391;0.5034949;50;0
0.4694612;0.5319481;0.4275939;0.5021998;50;0
0.4697958;0.5313942;0.4266624;0.5008627;50;0
0.4701822;0.5306337;0.4258577;0.4995036;50;0
0.4706222;0.5295649;0.4251976;0.4981499;50;0
0.4711151;0.5280697;0.4246958;0.4968325;50;0
0.4716586;0.5260649;0.4243535;0.4955804;50;0
0.4722475;0.5235981;0.4241564;0.4944193;50;0
0.4728757;0.5209165;0.4240785;0.4933699;50;0
0.4735358;0.5183867;0.4240891;0.4924462;50;0
0.4742208;0.5162953;0.4241589;0.4916565;50;0
0.4749242;0.5147309;0.4242638;0.4910026;50;0
0.4756405;0.51363;0.4243862;0.490482;50;0
0.4763651;0.5128769;0.4245138;0.4900877;50;0
0.4770937;0.5123671;0.4246388;0.4898111;50;0
0.4778227;0.5120257;0.4247566;0.4896415;50;0
0.4785482;0.5118042;0.4248645;0.4895672;50;0
0.4792667;0.5116733;0.4249614;0.4895759;50;0
0.4799744;0.5116151;0.4250469;0.4896539;50;0
0.4806682;0.5116181;0.4251215;0.489787;50;0
0.4813445;0.5116743;0.4251853;0.4899598;50;0
0.4819995;0.511777;0.4252394;0.4901575;50;0
0.4826289;0.5119199;0.4252846;0.4903659;50;0
0.4832266;0.5120966;0.4253215;0.4905722;50;0
0.4837853;0.5123011;0.4253511;0.490766;50;0
0.4842966;0.5125272;0.4253742;0.4909393;50;0
0.4847518;0.5127701;0.4253911;0.4910863;50;0
0.4851443;0.5130267;0.4254029;0.4912031;50;0
0.4854712;0.5132958;0.4254099;0.4912881;50;0
0.485735;0.5135801;0.4254127;0.4913405;50;0
0.4859427;0.5138864;0.4254117;0.4913612;50;0
0.4861041;0.5142264;0.425407;0.4913512;50;0
0.4862307;0.5146176;0.425399;0.491313;50;0
0.4863321;0.515083;0.425388;0.4912488;50;0
0.4864151;0.5156476;0.4253741;0.491162;50;0
0.4864836;0.5163351;0.4253574;0.4910561;50;0
0.4865385;0.5171587;0.4253381;0.4909351;50;0
0.4865789;0.5181139;0.4253165;0.4908037;50;0
0.4866029;0.5191732;0.4252923;0.4906673;50;0
0.4866087;0.5202882;0.425266;0.4905314;50;0
0.4865946;0.5213974;0.4252375;0.4904019;50;0
0.4865598;0.5224403;0.425207;0.4902847;50;0
0.4865036;0.5233685;0.4251747;0.4901842;50;0
0.4864259;0.5241505;0.4251404;0.4901042;50;0
0.486327;0.5247734;0.4251044;0.4900458;50;0
0.4862075;0.5252382;0.4250667;0.4900081;50;0
0.4860682;0.5255556;0.4250275;0.4899879;50;0
0.4859101;0.5257421;0.4249866;0.4899808;50;0
0.4857346;0.5258163;0.4249443;0.489981;50;0
0.4855429;0.5257975;0.4249006;0.4899834;50;0
0.4853365;0.5257042;0.4248553;0.4899828;50;0
0.485117;0.5255537;0.4248087;0.4899755;50;0
0.4848865;0.5253613;0.4247607;0.4899591;50;0
0.4846471;0.5251408;0.4247113;0.4899321;50;0
0.4844007;0.5249035;0.4246606;0.4898941;50;0
0.4841496;0.5246591;0.4246085;0.4898457;50;0
0.4838964;0.5244152;0.4245553;0.4897878;50;0
0.4836429;0.5241776;0.4245007;0.4897219;50;0
0.4833913;0.5239506;0.4244448;0.4896498;50;0
0.4831435;0.5237369;0.4243878;0.4895731;50;0
0.4829009;0.5235382;0.4243295;0.4894936;50;0
0.4826646;0.5233552;0.4242699;0.4894131;50;0
0.4824353;0.5231875;0.4242092;0.4893332;50;0
0.4822132;0.5230344;0.4241472;0.4892553;50;0
0.4819979;0.5228946;0.4240843;0.4891807;50;0
0.4817891;0.5227666;0.4240203;0.4891108;50;0
0.4815852;0.5226485;0.4239553;0.4890462;50;0
0.481385;0.5225385;0.4238892;0.4889883;50;0
0.4811869;0.5224348;0.4238224;0.4889375;2;0
0.4258711;0.6327803;0.5070905;0.5515643;25;0
0.4258711;0.6327803;0.5070905;0.5515643;25;0
0.4243012;0.6330516;0.5070921;0.5515409;25;0
0.4228243;0.6333086;0.5070959;0.5515294;25;0
0.4214328;0.6335515;0.5071023;0.5515295;25;0
0.4201206;0.6337802;0.507111;0.5515403;25;0
0.4188825;0.6339946;0.5071221;0.5515615;25;0
0.4177135;0.6341954;0.5071357;0.5515925;25;0
0.4166093;0.6343825;0.5071521;0.5516331;25;0
0.4155654;0.6345565;0.5071713;0.5516827;25;0
0.4145776;0.6347176;0.5071933;0.5517408;25;0
0.4136413;0.6348661;0.5072183;0.551807;25;0
0.4127522;0.6350023;0.5072464;0.551881;25;0
0.4119059;0.6351266;0.5072779;0.5519621;25;0
0.4110977;0.6352391;0.507313;0.5520498;25;0
