resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4524864;0.4173156;0.5159196;0.4985474;100;0
0.4522495;0.4173635;0.5159943;0.4985071;100;0
0.452035;0.4174161;0.5160624;0.4984808;100;0
0.4518411;0.417473;0.5161253;0.4984699;100;0
0.4516655;0.417534;0.5161846;0.4984762;100;0
0.4515065;0.417599;0.5162414;0.4985018;100;0
0.4513622;0.4176674;0.5162971;0.4985494;100;0
0.451231;0.4177393;0.5163528;0.4986218;100;0
0.4511115;0.4178147;0.5164094;0.4987226;100;0
0.4510027;0.4178932;0.5164678;0.4988563;100;0
0.4509034;0.4179752;0.5165288;0.4990267;100;0
0.4508136;0.4180608;0.5165933;0.4992382;100;0
0.4507329;0.4181501;0.5166616;0.4994935;100;0
0.4506614;0.4182436;0.5167339;0.4997925;100;0
0.4505998;0.4183415;0.51681;0.5001321;100;0
0.4505484;0.4184445;0.5168893;0.5005029;100;0
0.4505076;0.4185529;0.5169711;0.5008904;100;0
0.4504776;0.4186676;0.5170541;0.5012753;100;0
0.4504585;0.4187887;0.5171362;0.5016364;100;0
0.4504502;0.4189171;0.5172159;0.5019536;100;0
0.4504523;0.4190535;0.5172904;0.5022119;100;0
0.4504645;0.4191983;0.5173573;0.5024026;100;0
0.4504866;0.4193521;0.5174139;0.5025229;100;0
0.4505184;0.419516;0.5174574;0.5025746;100;0
0.4505597;0.41969;0.517485;0.5025626;100;0
0.4506109;0.4198751;0.5174938;0.5024924;100;0
0.4506724;0.4200718;0.5174814;0.5023694;100;0
0.4507444;0.4202806;0.517445;0.5021985;100;0
0.4508277;0.4205013;0.5173827;0.501983;100;0
0.4509231;0.4207344;0.5172938;0.5017254;100;0
0.4510312;0.4209794;0.5171793;0.5014266;100;0
0.4511531;0.4212359;0.5170428;0.5010874;100;0
0.4512897;0.421503;0.5168915;0.5007076;100;0
0.4514422;0.4217791;0.5167367;0.5002863;100;0
0.4516117;0.4220626;0.5165933;0.4998223;100;0
0.4517995;0.4223511;0.5164785;0.4993147;100;0
0.4520068;0.4226416;0.5164101;0.4987621;100;0
0.4522348;0.422931;0.5164047;0.4981646;100;0
0.4524849;0.4232148;0.5164756;0.4975229;100;0
0.4527583;0.4234889;0.5166317;0.4968395;100;0
0.453056;0.4237471;0.5168757;0.4961195;100;0
0.4533786;0.4239837;0.5172046;0.4953707;100;0
0.4537268;0.424191;0.5176067;0.4946041;100;0
0.4541002;0.4243604;0.5180631;0.4938334;100;0
0.4544983;0.4244819;0.5185499;0.4930733;100;0
0.4549197;0.4245442;0.5190399;0.4923395;100;0
0.4553622;0.424535;0.519509;0.4916448;100;0
0.4558237;0.4244431;0.5199397;0.4909993;100;0
0.4563004;0.4242594;0.5203218;0.4904091;100;0
0.456789;0.4239809;0.520653;0.4898761;100;0
0.4572851;0.4236124;0.5209358;0.4893995;100;0
0.4577845;0.4231688;0.5211754;0.4889758;100;0
0.4582829;0.422673;0.5213776;0.4886012;100;0
0.4587765;0.4221517;0.5215475;0.488271;100;0
0.4592615;0.4216295;0.5216887;0.4879807;100;0
0.4597349;0.4211235;0.5218037;0.4877268;100;0
0.4601941;0.4206385;0.5218935;0.4875052;100;0
0.4606372;0.4201645;0.5219573;0.4873129;100;0
0.4610633;0.4196736;0.5219941;0.4871471;100;0
0.4614715;0.4191184;0.522002;0.4870053;100;0
0.4618617;0.4184302;0.5219801;0.4868851;100;0
0.4622349;0.4175326;0.5219277;0.4867847;100;0
0.4625922;0.4163826;0.521846;0.4867022;100;0
0.4629363;0.4150358;0.5217381;0.4866358;100;0
0.4632709;0.4136705;0.5216097;0.4865838;100;0
0.4636022;0.4125034;0.5214689;0.4865444;100;0
0.4639392;0.4116608;0.5213258;0.4865158;100;0
0.4642945;0.4111432;0.5211912;0.4864952;100;0
0.4646839;0.4108805;0.5210773;0.486481;100;0
